mysql> SELECT DATEDIFF(createdOn , modifiedOn), count(*) FROM AddressBook GROUP BY DATEDIFF(createdOn, modifiedOn) ORDER BY DATEDIFF(createdOn, modifiedOn) ASC;                           
+----------------------------------+----------+
| DATEDIFF(createdOn , modifiedOn) | count(*) |
+----------------------------------+----------+
|                             -717 |        1 |
|                             -698 |        1 |
|                             -664 |        1 |
|                             -656 |        1 |
|                             -654 |        4 |
|                             -648 |        1 |
|                             -638 |        1 |
|                             -635 |        1 |
|                             -633 |        1 |
|                             -629 |        1 |
|                             -628 |        1 |
|                             -625 |        1 |
|                             -623 |        1 |
|                             -609 |        2 |
|                             -607 |        1 |
|                             -606 |        1 |
|                             -605 |        2 |
|                             -603 |        1 |
|                             -602 |        1 |
|                             -597 |        1 |
|                             -586 |        1 |
|                             -581 |        1 |
|                             -580 |        1 |
|                             -579 |        1 |
|                             -575 |        1 |
|                             -569 |        2 |
|                             -566 |        1 |
|                             -563 |        2 |
|                             -562 |        1 |
|                             -558 |        1 |
|                             -554 |        1 |
|                             -548 |        2 |
|                             -547 |        2 |
|                             -546 |        1 |
|                             -542 |        1 |
|                             -540 |        1 |
|                             -532 |        1 |
|                             -530 |        1 |
|                             -522 |        1 |
|                             -521 |        2 |
|                             -517 |        3 |
|                             -516 |        2 |
|                             -513 |        1 |
|                             -512 |        1 |
|                             -507 |        2 |
|                             -506 |        1 |
|                             -505 |        1 |
|                             -503 |        1 |
|                             -502 |        1 |
|                             -500 |        1 |
|                             -498 |        2 |
|                             -497 |        1 |
|                             -494 |        1 |
|                             -492 |        1 |
|                             -490 |        1 |
|                             -483 |        1 |
|                             -481 |        1 |
|                             -478 |        1 |
|                             -475 |        1 |
|                             -474 |        2 |
|                             -469 |        1 |
|                             -467 |        1 |
|                             -464 |        1 |
|                             -462 |        1 |
|                             -459 |        1 |
|                             -456 |        1 |
|                             -455 |        1 |
|                             -454 |        1 |
|                             -451 |        3 |
|                             -446 |        1 |
|                             -444 |        3 |
|                             -443 |        3 |
|                             -442 |        2 |
|                             -441 |        1 |
|                             -439 |        1 |
|                             -435 |        1 |
|                             -433 |        1 |
|                             -432 |        1 |
|                             -426 |        2 |
|                             -425 |        3 |
|                             -423 |        1 |
|                             -415 |        1 |
|                             -413 |        1 |
|                             -406 |        1 |
|                             -402 |        1 |
|                             -401 |        1 |
|                             -398 |        2 |
|                             -394 |        1 |
|                             -390 |        1 |
|                             -389 |        1 |
|                             -386 |        2 |
|                             -385 |        1 |
|                             -384 |        2 |
|                             -380 |        1 |
|                             -378 |        1 |
|                             -376 |        1 |
|                             -374 |        1 |
|                             -371 |        2 |
|                             -369 |        1 |
|                             -366 |        1 |
|                             -363 |        1 |
|                             -359 |        2 |
|                             -358 |        1 |
|                             -355 |        1 |
|                             -353 |        1 |
|                             -351 |        1 |
|                             -350 |        1 |
|                             -347 |        1 |
|                             -344 |        2 |
|                             -343 |        1 |
|                             -342 |        1 |
|                             -340 |        1 |
|                             -339 |        1 |
|                             -336 |        1 |
|                             -334 |        1 |
|                             -332 |        2 |
|                             -330 |        1 |
|                             -328 |        2 |
|                             -326 |        4 |
|                             -325 |        2 |
|                             -321 |        1 |
|                             -318 |        1 |
|                             -315 |        1 |
|                             -313 |        2 |
|                             -311 |        2 |
|                             -309 |        2 |
|                             -308 |        2 |
|                             -307 |        2 |
|                             -305 |        1 |
|                             -303 |        2 |
|                             -301 |        2 |
|                             -300 |        1 |
|                             -298 |        1 |
|                             -297 |        2 |
|                             -295 |        1 |
|                             -293 |        1 |
|                             -292 |        1 |
|                             -291 |        1 |
|                             -289 |        2 |
|                             -288 |        2 |
|                             -286 |        1 |
|                             -285 |        1 |
|                             -283 |        1 |
|                             -281 |        1 |
|                             -280 |        2 |
|                             -278 |        1 |
|                             -277 |        2 |
|                             -276 |        1 |
|                             -275 |        1 |
|                             -273 |        1 |
|                             -272 |        1 |
|                             -271 |        1 |
|                             -270 |        1 |
|                             -269 |        1 |
|                             -267 |        2 |
|                             -266 |        1 |
|                             -265 |        1 |
|                             -261 |        3 |
|                             -259 |        1 |
|                             -257 |        1 |
|                             -252 |        1 |
|                             -251 |        2 |
|                             -250 |        1 |
|                             -248 |        2 |
|                             -245 |        1 |
|                             -243 |        1 |
|                             -242 |        1 |
|                             -241 |        1 |
|                             -239 |        1 |
|                             -238 |        2 |
|                             -237 |        1 |
|                             -236 |        3 |
|                             -234 |        2 |
|                             -233 |        1 |
|                             -232 |        1 |
|                             -230 |        1 |
|                             -228 |        2 |
|                             -227 |        1 |
|                             -226 |        1 |
|                             -225 |        1 |
|                             -224 |        1 |
|                             -223 |        1 |
|                             -221 |        1 |
|                             -218 |        3 |
|                             -217 |        1 |
|                             -216 |        2 |
|                             -214 |        4 |
|                             -213 |        1 |
|                             -212 |        2 |
|                             -211 |        2 |
|                             -209 |        2 |
|                             -208 |        2 |
|                             -207 |        1 |
|                             -205 |        2 |
|                             -204 |        3 |
|                             -202 |        1 |
|                             -200 |        2 |
|                             -199 |        4 |
|                             -198 |        1 |
|                             -196 |        2 |
|                             -195 |        4 |
|                             -194 |        1 |
|                             -193 |        3 |
|                             -192 |        2 |
|                             -191 |        3 |
|                             -189 |        1 |
|                             -188 |        1 |
|                             -187 |        1 |
|                             -186 |        1 |
|                             -184 |        1 |
|                             -180 |        1 |
|                             -179 |        3 |
|                             -178 |        4 |
|                             -177 |        2 |
|                             -176 |        1 |
|                             -175 |        1 |
|                             -174 |        1 |
|                             -173 |        1 |
|                             -172 |        2 |
|                             -171 |        1 |
|                             -170 |        1 |
|                             -169 |        3 |
|                             -168 |        1 |
|                             -167 |        1 |
|                             -166 |        1 |
|                             -165 |        1 |
|                             -164 |        1 |
|                             -162 |        1 |
|                             -161 |        1 |
|                             -159 |        1 |
|                             -158 |        2 |
|                             -157 |        1 |
|                             -156 |        2 |
|                             -155 |        1 |
|                             -154 |        2 |
|                             -153 |        1 |
|                             -149 |        3 |
|                             -147 |        1 |
|                             -142 |        2 |
|                             -141 |        2 |
|                             -140 |        2 |
|                             -138 |        4 |
|                             -137 |        2 |
|                             -136 |        1 |
|                             -134 |        1 |
|                             -133 |        2 |
|                             -131 |        2 |
|                             -130 |        1 |
|                             -129 |        2 |
|                             -128 |        4 |
|                             -127 |        1 |
|                             -126 |        1 |
|                             -125 |        2 |
|                             -123 |        2 |
|                             -122 |        1 |
|                             -121 |        2 |
|                             -119 |        2 |
|                             -118 |        1 |
|                             -117 |        5 |
|                             -113 |        1 |
|                             -112 |        3 |
|                             -111 |        3 |
|                             -110 |        1 |
|                             -109 |        1 |
|                             -108 |        2 |
|                             -106 |        2 |
|                             -105 |        3 |
|                             -104 |        1 |
|                             -101 |        2 |
|                             -100 |        1 |
|                              -99 |        2 |
|                              -98 |        2 |
|                              -96 |        1 |
|                              -94 |        3 |
|                              -90 |        1 |
|                              -89 |        2 |
|                              -88 |        1 |
|                              -87 |        4 |
|                              -86 |        2 |
|                              -85 |        1 |
|                              -81 |        4 |
|                              -80 |        2 |
|                              -79 |        1 |
|                              -78 |        4 |
|                              -77 |        2 |
|                              -74 |        3 |
|                              -73 |        1 |
|                              -72 |        2 |
|                              -71 |        4 |
|                              -70 |        2 |
|                              -68 |        2 |
|                              -67 |        2 |
|                              -65 |        1 |
|                              -64 |        2 |
|                              -63 |        1 |
|                              -62 |        2 |
|                              -61 |        1 |
|                              -60 |        3 |
|                              -59 |        1 |
|                              -58 |        2 |
|                              -57 |        6 |
|                              -56 |        1 |
|                              -55 |        1 |
|                              -54 |        2 |
|                              -53 |        5 |
|                              -52 |        3 |
|                              -51 |        2 |
|                              -50 |        3 |
|                              -49 |        1 |
|                              -47 |        1 |
|                              -46 |        1 |
|                              -44 |        4 |
|                              -43 |        3 |
|                              -42 |        2 |
|                              -41 |        1 |
|                              -40 |        2 |
|                              -39 |        4 |
|                              -38 |        2 |
|                              -36 |        2 |
|                              -35 |        1 |
|                              -34 |        2 |
|                              -33 |        1 |
|                              -32 |        2 |
|                              -31 |        1 |
|                              -30 |        1 |
|                              -29 |        1 |
|                              -28 |        1 |
|                              -27 |        2 |
|                              -26 |        1 |
|                              -25 |        2 |
|                              -24 |        2 |
|                              -23 |        1 |
|                              -22 |        1 |
|                              -21 |        1 |
|                              -20 |        2 |
|                              -19 |        1 |
|                              -18 |        2 |
|                              -17 |        2 |
|                              -16 |        2 |
|                              -15 |        2 |
|                              -14 |        2 |
|                              -12 |        1 |
|                              -10 |        2 |
|                               -8 |        2 |
|                               -6 |        1 |
|                               -5 |        2 |
|                               -4 |        1 |
|                               -1 |        2 |
|                                0 |        2 |
|                                1 |        2 |
|                                2 |        1 |
|                                3 |        2 |
|                                4 |        1 |
|                                5 |        1 |
|                                6 |        2 |
|                                7 |        3 |
|                                8 |        2 |
|                               10 |        2 |
|                               12 |        2 |
|                               13 |        1 |
|                               15 |        3 |
|                               17 |        4 |
|                               19 |        2 |
|                               20 |        2 |
|                               24 |        1 |
|                               27 |        1 |
|                               28 |        1 |
|                               29 |        2 |
|                               30 |        2 |
|                               31 |        2 |
|                               32 |        2 |
|                               34 |        2 |
|                               35 |        3 |
|                               36 |        1 |
|                               37 |        1 |
|                               39 |        4 |
|                               40 |        1 |
|                               41 |        1 |
|                               43 |        5 |
|                               44 |        5 |
|                               45 |        2 |
|                               47 |        1 |
|                               48 |        1 |
|                               49 |        1 |
|                               50 |        1 |
|                               51 |        1 |
|                               53 |        2 |
|                               54 |        1 |
|                               55 |        1 |
|                               57 |        2 |
|                               60 |        1 |
|                               61 |        1 |
|                               62 |        1 |
|                               63 |        4 |
|                               65 |        3 |
|                               68 |        2 |
|                               70 |        1 |
|                               72 |        2 |
|                               73 |        3 |
|                               74 |        1 |
|                               75 |        1 |
|                               77 |        3 |
|                               78 |        1 |
|                               79 |        1 |
|                               80 |        3 |
|                               81 |        2 |
|                               82 |        1 |
|                               83 |        1 |
|                               84 |        1 |
|                               86 |        3 |
|                               88 |        1 |
|                               89 |        3 |
|                               90 |        1 |
|                               92 |        1 |
|                               94 |        4 |
|                               95 |        2 |
|                               96 |        1 |
|                               97 |        1 |
|                               98 |        2 |
