mysql> SELECT SUBSTRING_INDEX(content,'@',-1), count(SUBSTRING_INDEX(content,'@',-1)) FROM ElectronicMail GROUP BY SUBSTRING_INDEX(content,'@',-1) ORDER BY SUBSTRING_INDEX(content,'@',-1);
+-----------------------------------+----------------------------------------+
| SUBSTRING_INDEX(content,'@',-1)   | count(SUBSTRING_INDEX(content,'@',-1)) |
+-----------------------------------+----------------------------------------+
| a.ca                              |                                      2 |
| a.co.uk                           |                                      1 |
| a.com                             |                                      1 |
| a.edu                             |                                      1 |
| a.net                             |                                      2 |
| aaliquet.com                      |                                      1 |
| aaliquetvel.edu                   |                                      1 |
| aarcuSed.org                      |                                      1 |
| ac.co.uk                          |                                      1 |
| ac.com                            |                                      2 |
| ac.edu                            |                                      2 |
| ac.net                            |                                      4 |
| ac.org                            |                                      1 |
| acarcu.org                        |                                      1 |
| acarcuNunc.edu                    |                                      1 |
| accumsan.net                      |                                      1 |
| accumsanconvallisante.ca          |                                      1 |
| accumsaninterdum.co.uk            |                                      1 |
| accumsansed.edu                   |                                      1 |
| aceleifend.edu                    |                                      1 |
| aceleifendvitae.co.uk             |                                      1 |
| aceleifendvitae.edu               |                                      1 |
| acfermentum.com                   |                                      1 |
| acfermentum.edu                   |                                      1 |
| acfermentumvel.ca                 |                                      1 |
| acipsumPhasellus.co.uk            |                                      1 |
| acliberonec.edu                   |                                      1 |
| acmattis.ca                       |                                      1 |
| acmattis.net                      |                                      1 |
| acmattisornare.org                |                                      1 |
| acmattissemper.org                |                                      1 |
| acmieleifend.co.uk                |                                      1 |
| acnulla.com                       |                                      1 |
| acorciUt.co.uk                    |                                      1 |
| acrisus.edu                       |                                      1 |
| acturpisegestas.net               |                                      1 |
| ad.org                            |                                      1 |
| adipiscing.co.uk                  |                                      3 |
| adipiscing.com                    |                                      1 |
| adipiscing.org                    |                                      1 |
| adipiscingelit.com                |                                      1 |
| adipiscingelitAliquam.edu         |                                      1 |
| adipiscingelitCurabitur.co.uk     |                                      1 |
| adipiscingelitCurabitur.org       |                                      1 |
| augueeu.net                       |                                      1 |
| augueeu.org                       |                                      1 |
| augueeutellus.com                 |                                      1 |
| augueeutellus.net                 |                                      1 |
| augueporttitorinterdum.org        |                                      1 |
| augueSedmolestie.co.uk            |                                      1 |
| bibendum.co.uk                    |                                      2 |
| bibendum.org                      |                                      1 |
| bibendumfermentum.com             |                                      1 |
| bibendumsed.ca                    |                                      1 |
| bibendumsedest.com                |                                      1 |
| blandit.co.uk                     |                                      1 |
| blandit.com                       |                                      1 |
| blanditatnisi.com                 |                                      1 |
| blanditcongue.ca                  |                                      1 |
| blanditcongue.co.uk               |                                      1 |
| blanditenimconsequat.net          |                                      1 |
| blanditmattisCras.edu             |                                      1 |
| blanditNamnulla.ca                |                                      1 |
| blanditviverra.net                |                                      1 |
| commodo.com                       |                                      1 |
| commodo.org                       |                                      1 |
| commodohendrerit.co.uk            |                                      1 |
| commodohendreritDonec.ca          |                                      1 |
| commodoipsumSuspendisse.net       |                                      2 |
| condimentum.co.uk                 |                                      1 |
| condimentum.org                   |                                      1 |
| condimentumDonecat.co.uk          |                                      1 |
| condimentumeget.edu               |                                      1 |
| congue.com                        |                                      2 |
| congue.edu                        |                                      1 |
| conguea.edu                       |                                      1 |
| congueelitsed.net                 |                                      1 |
| congueIn.ca                       |                                      1 |
| congueInscelerisque.net           |                                      1 |
| congueturpis.edu                  |                                      1 |
| congueturpis.net                  |                                      1 |
| consectetuer.ca                   |                                      1 |
| consectetuer.co.uk                |                                      1 |
| consectetueradipiscingelit.com    |                                      1 |
| consectetuereuismod.edu           |                                      1 |
| consectetuereuismodest.com        |                                      1 |
| consequat.edu                     |                                      1 |
| consequatauctor.ca                |                                      1 |
| consequatdolor.co.uk              |                                      1 |
| consequatenimdiam.com             |                                      1 |
| consequatnec.com                  |                                      1 |
| consequatnecmollis.com            |                                      1 |
| consequatpurus.edu                |                                      1 |
| conubia.net                       |                                      1 |
| conubianostra.edu                 |                                      1 |
| convallis.ca                      |                                      1 |
| convallis.co.uk                   |                                      1 |
| convallis.edu                     |                                      1 |
| convallis.net                     |                                      1 |
| convallisdolorQuisque.co.uk       |                                      1 |
| convallisin.com                   |                                      1 |
| convallisin.edu                   |                                      1 |
| Cras.org                          |                                      1 |
| Crasconvallisconvallis.net        |                                      1 |
| Craseget.org                      |                                      2 |
